DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
3611740,Gananda Central School District,Public,Walworth,NY,1080.0,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,89918,7
3629910,Warrensburg Central School District,Public,Warrensburg,NY,767.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,63944,2
3630270,Waverly Central School District,Public,Waverly,NY,1505.0,Hybrid,No,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,48203,21
3630360,Webster Central School District,Public,Webster,NY,8484.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,89918,7
3630540,West Babylon Union Free School District,Public,West Babylon,NY,4271.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3630690,West Islip Union Free School District,Public,West Islip,NY,4752.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1476601,26
3631260,White Plains City School District,Public,White Plains,NY,7132.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Unknown,967506,38
3631290,Whitehall Central School District,Public,Whitehall,NY,769.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,61204,0
3631350,Whitesville Central School District,Public,Whitesville,NY,210.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,95379,45
3631380,Whitney Point Central School District,Public,Whitney Point,NY,1483.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,48203,21
3631800,Wyandanch Union Free School District,Public,Wyandanch,NY,2800.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,1476601,26
3631980,Yorktown Central School District,Public,Yorktown Heights,NY,3514.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,967506,38
3905006,Springfield Local School District,Public,Akron,OH,2398.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,162466,5
3905006,Springfield Local School District,Public,Akron,OH,2398.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,541013,56
3904837,Springfield Local School District,Public,New Middletown,OH,1032.0,Hybrid,Yes,No,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,162466,5
3904837,Springfield Local School District,Public,New Middletown,OH,1032.0,Hybrid,Yes,No,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,541013,56
3904590,Alexander Local School District,Public,Albany,OH,1537.0,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,22907,9
3904590,Alexander Local School District,Public,Albany,OH,1537.0,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,13085,3
3904349,Alliance City School District,Public,Alliance,OH,3106.0,Other,No,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,370606,42
3904988,Marlington Local School District,Public,Alliance,OH,2159.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,370606,42
3910004,Anna Local School District,Public,Anna,OH,1202.0,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,48590,11
3904899,Antwerp Local School District,Public,Antwerp,OH,734.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,18672,8
3905058,Southeast Local School District,Public,Apple Creek,OH,1370.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,162466,5
3905058,Southeast Local School District,Public,Apple Creek,OH,1370.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,370606,42
3905058,Southeast Local School District,Public,Apple Creek,OH,1370.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,115710,25
3904922,Southeast Local School District,Public,Ravenna,OH,1477.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,162466,5
3904922,Southeast Local School District,Public,Ravenna,OH,1477.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,370606,42
3904922,Southeast Local School District,Public,Ravenna,OH,1477.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,115710,25
3904664,Franklin Monroe Local School District,Public,Arcanum,OH,736.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,106987,22
3904350,Ashland City School District,Public,Ashland,OH,3365.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,121154,10
3904942,Crestview Local School District,Public,Ashland,OH,1070.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,121154,10
3904942,Crestview Local School District,Public,Ashland,OH,1070.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,28275,3
3904643,Crestview Local School District,Public,Columbiana,OH,1295.0,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,121154,10
3904643,Crestview Local School District,Public,Columbiana,OH,1295.0,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,28275,3
3905035,Crestview Local School District,Public,Convoy,OH,819.0,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,121154,10
3905035,Crestview Local School District,Public,Convoy,OH,819.0,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,28275,3
3904585,Buckeye Local School District,Public,Ashtabula,OH,1755.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,179746,13
3904778,Buckeye Local School District,Public,Dillonvale,OH,1709.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,179746,13
3904847,Buckeye Local School District,Public,Medina,OH,2542.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,179746,13
3904909,Teays Valley Local School District,Public,Ashville,OH,4414.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,58457,3
3904968,Seneca East Local School District,Public,Attica,OH,856.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,55178,3
3904924,Waterloo Local School District,Public,Atwater,OH,1100.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,162466,5
3904917,Aurora City School District,Public,Aurora,OH,3113.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,162466,5
3904917,Aurora City School District,Public,Aurora,OH,3113.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,541013,56
3904951,Paint Valley Local School District,Public,Bainbridge,OH,891.0,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,76666,42
3904353,Barberton City School District,Public,Barberton,OH,3700.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,541013,56
3904970,Hopewell-Loudon Local School District,Public,Bascom,OH,853.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,55178,3
3904912,Eastern Local School District,Public,Beaver,OH,950.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,22907,9
3904912,Eastern Local School District,Public,Beaver,OH,950.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,27772,1
3904912,Eastern Local School District,Public,Beaver,OH,950.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,75314,9
3904851,Eastern Local School District,Public,Reedsville,OH,883.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,22907,9
3904851,Eastern Local School District,Public,Reedsville,OH,883.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,27772,1
3904851,Eastern Local School District,Public,Reedsville,OH,883.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,75314,9
3904603,Eastern Local School District,Public,Winchester,OH,1393.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,22907,9
3904603,Eastern Local School District,Public,Winchester,OH,1393.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,27772,1
3904603,Eastern Local School District,Public,Winchester,OH,1393.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,75314,9
3904724,Beavercreek City School District,Public,Beavercreek,OH,8506.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,531687,81
3904807,Benjamin Logan Local School District,Public,Bellefontaine,OH,1779.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,58988,2
3904359,Bellevue City School District,Public,Bellevue,OH,2072.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,58518,8
3904359,Bellevue City School District,Public,Bellevue,OH,2072.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,55178,3
3904941,Clear Fork Valley Local School District,Public,Bellville,OH,1780.0,On Premises,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,121154,10
3904838,West Branch Local School District,Public,Beloit,OH,2269.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,162466,5
3904361,Belpre City School District,Public,Belpre,OH,1140.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,59911,4
3905048,Fort Frye Local School District,Public,Beverly,OH,1040.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,14508,1
3905048,Fort Frye Local School District,Public,Beverly,OH,1040.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,14424,17
3905048,Fort Frye Local School District,Public,Beverly,OH,1040.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,59911,4
3904638,Blanchester Local School District,Public,Blanchester,OH,1656.0,Hybrid,Yes,Yes,No,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,234602,30
3905068,Elmwood Local School District,Public,Bloomdale,OH,1238.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,130817,44
3904976,Botkins Local School District,Public,Botkins,OH,665.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,48590,11
3904363,Bowling Green City School District,Public,Bowling Green,OH,3020.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,130817,44
3905072,Otsego Local School District,Public,Bowling Green,OH,1736.0,On Premises,Yes,Yes,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,130817,44
3905011,Bristol Local School District,Public,Bristolville,OH,700.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,197974,17
3905012,Brookfield Local School District,Public,Brookfield,OH,1039.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,197974,17
3904367,Bryan City School District,Public,Bryan,OH,2047.0,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,36692,3
3904652,Wynford Local School District,Public,Bucyrus,OH,1133.0,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,21772,5
3904844,River Valley Local School District,Public,Caledonia,OH,1985.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,65093,5
3904844,River Valley Local School District,Public,Caledonia,OH,1985.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,35328,0
3904730,Rolling Hills Local School District,Public,Cambridge,OH,1680.0,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,86215,7
3904730,Rolling Hills Local School District,Public,Cambridge,OH,1680.0,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,14424,17
3904928,Preble Shawnee Local School District,Public,Camden,OH,1542.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,531687,81
3904928,Preble Shawnee Local School District,Public,Camden,OH,1542.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,40882,17
3904990,Northwest Local School District,Public,Canal Fulton,OH,1847.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,75314,9
3904990,Northwest Local School District,Public,Canal Fulton,OH,1847.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,370606,42
3904990,Northwest Local School District,Public,Canal Fulton,OH,1847.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,541013,56
3904990,Northwest Local School District,Public,Canal Fulton,OH,1847.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,115710,25
3904736,Northwest Local School District,Public,Cincinnati,OH,9361.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,75314,9
3904736,Northwest Local School District,Public,Cincinnati,OH,9361.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,370606,42
3904736,Northwest Local School District,Public,Cincinnati,OH,9361.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,541013,56
3904736,Northwest Local School District,Public,Cincinnati,OH,9361.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,115710,25
3904371,Canton City School District,Public,Canton,OH,10046.0,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,370606,42
3904983,Canton Local School District,Public,Canton,OH,2076.0,Hybrid,Yes,Unknown,Pending,Yes,Pending,Pending,Pending,Pending,Pending,Pending,370606,42
3904993,Plain Local School District,Public,Canton,OH,7658.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,370606,42
3904879,Cardington-Lincoln Local School District,Public,Cardington,OH,1064.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,65093,5
3904879,Cardington-Lincoln Local School District,Public,Cardington,OH,1064.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,35328,0
3904526,Carey Exempted Village School District,Public,Carey,OH,845.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,55178,3
3904526,Carey Exempted Village School District,Public,Carey,OH,845.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,21772,5
3904862,Miami East Local School District,Public,Casstown,OH,1288.0,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,106987,22
